County,ELR_date,Test_tot,Test_pos,Test_neg,Positive Tests (%)
Baker,28-Apr-21,55,3,52,5.50%
Baker,29-Apr-21,30,1,29,3.30%
Baker,30-Apr-21,59,4,55,6.80%
Baker,1-May-21,13,2,11,15.40%
Baker,2-May-21,12,0,12,0.00%
Baker,3-May-21,32,1,31,3.10%
Baker,4-May-21,41,8,33,19.50%
Baker,5-May-21,25,5,20,20.00%
Baker,6-May-21,66,5,61,7.60%
Baker,7-May-21,41,7,34,17.10%
Baker,8-May-21,19,0,19,0.00%
Baker,9-May-21,4,0,4,0.00%
Baker,10-May-21,26,0,26,0.00%
Baker,11-May-21,22,1,21,4.50%
Baker,12-May-21,40,5,35,12.50%
Baker,13-May-21,26,2,24,7.70%
Benton,28-Apr-21,733,25,708,3.40%
Benton,29-Apr-21,749,18,731,2.40%
Benton,30-Apr-21,645,15,630,2.30%
Benton,1-May-21,456,14,442,3.10%
Benton,2-May-21,168,11,157,6.50%
Benton,3-May-21,564,58,506,10.30%
Benton,4-May-21,445,10,435,2.20%
Benton,5-May-21,283,15,268,5.30%
Benton,6-May-21,"1,630",32,"1,598",2.00%
Benton,7-May-21,"1,161",18,"1,143",1.60%
Benton,8-May-21,312,13,299,4.20%
Benton,9-May-21,305,26,279,8.50%
Benton,10-May-21,240,26,214,10.80%
Benton,11-May-21,437,15,422,3.40%
Benton,12-May-21,675,17,658,2.50%
Benton,13-May-21,582,9,573,1.50%
Clackamas,28-Apr-21,"1,682",150,"1,532",8.90%
Clackamas,29-Apr-21,"1,711",146,"1,565",8.50%
Clackamas,30-Apr-21,"1,609",138,"1,471",8.60%
Clackamas,1-May-21,"1,145",110,"1,035",9.60%
Clackamas,2-May-21,"1,315",130,"1,185",9.90%
Clackamas,3-May-21,"1,403",130,"1,273",9.30%
Clackamas,4-May-21,"1,826",111,"1,715",6.10%
Clackamas,5-May-21,"1,260",82,"1,178",6.50%
Clackamas,6-May-21,"2,019",157,"1,862",7.80%
Clackamas,7-May-21,"1,570",147,"1,423",9.40%
Clackamas,8-May-21,"1,303",105,"1,198",8.10%
Clackamas,9-May-21,948,62,886,6.50%
Clackamas,10-May-21,"1,329",132,"1,197",9.90%
Clackamas,11-May-21,"1,474",81,"1,393",5.50%
Clackamas,12-May-21,"1,657",86,"1,571",5.20%
Clackamas,13-May-21,"1,331",107,"1,224",8.00%
Clatsop,28-Apr-21,125,12,113,9.60%
Clatsop,29-Apr-21,123,4,119,3.30%
Clatsop,30-Apr-21,124,5,119,4.00%
Clatsop,1-May-21,97,9,88,9.30%
Clatsop,2-May-21,51,1,50,2.00%
Clatsop,3-May-21,47,1,46,2.10%
Clatsop,4-May-21,111,4,107,3.60%
Clatsop,5-May-21,47,3,44,6.40%
Clatsop,6-May-21,123,2,121,1.60%
Clatsop,7-May-21,67,3,64,4.50%
Clatsop,8-May-21,140,6,134,4.30%
Clatsop,9-May-21,49,5,44,10.20%
Clatsop,10-May-21,36,1,35,2.80%
Clatsop,11-May-21,90,3,87,3.30%
Clatsop,12-May-21,135,6,129,4.40%
Clatsop,13-May-21,88,2,86,2.30%
Columbia,28-Apr-21,217,15,202,6.90%
Columbia,29-Apr-21,169,8,161,4.70%
Columbia,30-Apr-21,162,20,142,12.30%
Columbia,1-May-21,117,11,106,9.40%
Columbia,2-May-21,124,5,119,4.00%
Columbia,3-May-21,110,3,107,2.70%
Columbia,4-May-21,131,8,123,6.10%
Columbia,5-May-21,151,12,139,7.90%
Columbia,6-May-21,246,12,234,4.90%
Columbia,7-May-21,157,11,146,7.00%
Columbia,8-May-21,134,14,120,10.40%
Columbia,9-May-21,102,11,91,10.80%
Columbia,10-May-21,102,6,96,5.90%
Columbia,11-May-21,105,7,98,6.70%
Columbia,12-May-21,170,10,160,5.90%
Columbia,13-May-21,155,8,147,5.20%
Coos,28-Apr-21,198,1,197,0.50%
Coos,29-Apr-21,206,5,201,2.40%
Coos,30-Apr-21,253,9,244,3.60%
Coos,1-May-21,80,3,77,3.80%
Coos,2-May-21,98,3,95,3.10%
Coos,3-May-21,160,3,157,1.90%
Coos,4-May-21,152,0,152,0.00%
