Demographic,Categories,Alive,Died,Total
Sex Group,Total,"191,960","2,582","194,542"
Sex Group,Female,"97,364","1,190","98,554"
Sex Group,Male,"92,627","1,379","94,006"
Sex Group,Refused/Unknown,"1,950",13,"1,963"
Age Group,Total,"191,960","2,582","194,542"
Age Group,9 and younger,"9,382",1,"9,383"
Age Group,10 to 19,"22,789",1,"22,790"
Age Group,20 to 29,"40,941",6,"40,947"
Age Group,30 to 39,"33,804",21,"33,825"
Age Group,40 to 49,"29,861",64,"29,925"
Age Group,50 to 59,"24,652",161,"24,813"
Age Group,60 to 69,"16,064",388,"16,452"
Age Group,70 to 79,"8,821",612,"9,433"
Age Group,80+,"5,252","1,328","6,580"
Race,Total,"191,960","2,582","194,542"
Race,AI/AN,"3,306",45,"3,351"
Race,Asian,"5,854",62,"5,916"
Race,Black,"5,015",53,"5,068"
Race,Multiracial,"3,309",53,"3,362"
Race,Other,"40,429",196,"40,625"
Race,Pacific Is.,"1,598",21,"1,619"
Race,Refused/Unknown ,"34,796",409,"35,205"
Race,White,"97,637","1,743","99,380"
Ethnicity,Total,"191,960","2,582","194,542"
Ethnicity,Hispanic,"46,160",222,"46,382"
Ethnicity,Not Hispanic,"99,581","1,666","101,247"
Ethnicity,Refused/Unknown ,"46,219",694,"46,913"
