County,Population,,,,,
All,"4,268,055",,,,,
Baker,"16,910",,,,,
Benton,"94,665",,,,,
Clackamas,"426,515",,,,,
Clatsop,"39,455",,,,,
Columbia,"53,280",,,,,
Coos,"63,315",,,,,
Crook,"23,440",,,,,
Curry,"23,005",,,,,
Deschutes,"197,015",,,,,
Douglas,"112,530",,,,,
Gilliam,"1,990",,,,,
Grant,"7,315",,,,,
Harney,"7,280",,,,,
Hood River,"25,640",,,,,
Jackson,"223,240",,,,,
Jefferson,"24,105",,,,,
Josephine,"86,560",,,,,
Klamath,"68,075",,,,,
Lake,"8,075",,,,,
Lane,"381,365",,,,,
Lincoln,"48,305",,,,,
Linn,"127,320",,,,,
Malheur,"32,105",,,,,
Marion,"349,120",,,,,
Morrow,"12,825",,,,,
Multnomah,"829,560",,,,,
Polk,"83,805",,,,,
Sherman,"1,795",,,,,
Tillamook,"26,530",,,,,
Umatilla,"81,495",,,,,
Union,"26,840",,,,,
Wallowa,"7,160",,,,,
Wasco,"27,295",,,,,
Washington,"620,080",,,,,
Wheeler,"1,440",,,,,
Yamhill,"108,605",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
