County,Date,Vaccine,Count
,12/15/20,Pfizer,1
,12/16/20,Pfizer,68
,12/17/20,Moderna,1
,12/17/20,Pfizer,74
,12/18/20,Pfizer,242
,12/18/20,Unspecified,2
,12/19/20,Pfizer,103
,12/20/20,Pfizer,88
,12/21/20,Moderna,5
,12/21/20,Pfizer,265
,12/22/20,Moderna,77
,12/22/20,Pfizer,222
,12/22/20,Unspecified,1
,12/23/20,Moderna,102
,12/23/20,Pfizer,245
,12/24/20,Moderna,53
,12/24/20,Pfizer,106
,12/25/20,Pfizer,13
,12/26/20,Moderna,16
,12/26/20,Pfizer,113
,12/27/20,Moderna,61
,12/27/20,Pfizer,124
,12/28/20,Moderna,286
,12/28/20,Pfizer,201
,12/28/20,Unspecified,1
,12/29/20,Moderna,312
,12/29/20,Pfizer,232
,12/29/20,Unspecified,2
,12/30/20,Moderna,374
,12/30/20,Pfizer,212
,12/30/20,Unspecified,1
,12/31/20,Moderna,210
,12/31/20,Pfizer,105
,1/1/21,Moderna,59
,1/1/21,Pfizer,45
,1/1/21,Unspecified,2
,1/2/21,Moderna,261
,1/2/21,Pfizer,72
,1/3/21,Moderna,196
,1/3/21,Pfizer,83
,1/4/21,Moderna,297
,1/4/21,Pfizer,154
,1/5/21,Moderna,374
,1/5/21,Pfizer,210
,1/5/21,Unspecified,2
,1/6/21,Moderna,284
,1/6/21,Pfizer,168
,1/7/21,Moderna,266
,1/7/21,Pfizer,253
,1/7/21,Unspecified,1
,1/8/21,Moderna,254
,1/8/21,Pfizer,321
,1/8/21,Unspecified,3
,1/9/21,Moderna,153
,1/9/21,Pfizer,166
,1/10/21,Moderna,84
,1/10/21,Pfizer,94
,1/11/21,Moderna,192
,1/11/21,Pfizer,311
,1/12/21,Moderna,350
,1/12/21,Pfizer,300
,1/12/21,Unspecified,3
,1/13/21,Moderna,350
,1/13/21,Pfizer,300
,1/13/21,Unspecified,1
,1/14/21,Moderna,320
,1/14/21,Pfizer,265
,1/14/21,Unspecified,2
,1/15/21,Moderna,508
,1/15/21,Pfizer,281
,1/15/21,Unspecified,2
,1/16/21,Johnson & Johnson,1
,1/16/21,Moderna,868
,1/16/21,Pfizer,348
,1/16/21,Unspecified,3
,1/17/21,Moderna,232
,1/17/21,Pfizer,381
,1/17/21,Unspecified,22
,1/18/21,Moderna,124
,1/18/21,Pfizer,274
,1/19/21,Moderna,318
,1/19/21,Pfizer,257
,1/20/21,Moderna,419
,1/20/21,Pfizer,274
,1/20/21,Unspecified,3
,1/21/21,Moderna,331
,1/21/21,Pfizer,299
,1/21/21,Unspecified,5
,1/22/21,Moderna,545
,1/22/21,Pfizer,399
,1/22/21,Unspecified,3
,1/23/21,Moderna,274
,1/23/21,Pfizer,255
,1/23/21,Unspecified,3
,1/24/21,Moderna,207
,1/24/21,Pfizer,172
,1/24/21,Unspecified,1
,1/25/21,Moderna,413
,1/25/21,Pfizer,253
,1/25/21,Unspecified,2
,1/26/21,Moderna,610
,1/26/21,Pfizer,232
,1/26/21,Unspecified,4
,1/27/21,Moderna,431
,1/27/21,Pfizer,343
,1/27/21,Unspecified,3
,1/28/21,Moderna,527
,1/28/21,Pfizer,310
,1/28/21,Unspecified,2
,1/29/21,Moderna,663
,1/29/21,Pfizer,333
,1/30/21,Moderna,224
,1/30/21,Pfizer,189
,1/30/21,Unspecified,2
,1/31/21,Moderna,373
,1/31/21,Pfizer,221
,1/31/21,Unspecified,1
,2/1/21,Moderna,375
,2/1/21,Pfizer,236
,2/1/21,Unspecified,8
,2/2/21,Moderna,622
,2/2/21,Pfizer,240
,2/2/21,Unspecified,4
,2/3/21,Moderna,421
,2/3/21,Pfizer,233
,2/3/21,Unspecified,2
,2/4/21,Moderna,529
,2/4/21,Pfizer,305
,2/4/21,Unspecified,3
,2/5/21,Moderna,481
,2/5/21,Pfizer,328
,2/5/21,Unspecified,1
,2/6/21,Moderna,431
,2/6/21,Pfizer,305
,2/6/21,Unspecified,2
,2/7/21,Moderna,139
,2/7/21,Pfizer,151
,2/8/21,Moderna,278
,2/8/21,Pfizer,210
,2/8/21,Unspecified,2
,2/9/21,Moderna,644
,2/9/21,Pfizer,244
,2/9/21,Unspecified,5
,2/10/21,Moderna,"1,560"
,2/10/21,Pfizer,182
,2/10/21,Unspecified,3
,2/11/21,Johnson & Johnson,1
,2/11/21,Moderna,726
,2/11/21,Pfizer,383
,2/11/21,Unspecified,3
,2/12/21,Moderna,700
,2/12/21,Pfizer,253
,2/12/21,Unspecified,5
,2/13/21,Moderna,87
,2/13/21,Pfizer,110
,2/13/21,Unspecified,1
,2/14/21,Moderna,33
,2/14/21,Pfizer,137
,2/14/21,Unspecified,2
,2/15/21,Moderna,148
,2/15/21,Pfizer,120
,2/15/21,Unspecified,1
,2/16/21,Moderna,406
,2/16/21,Pfizer,224
,2/16/21,Unspecified,3
,2/17/21,Moderna,350
,2/17/21,Pfizer,240
,2/17/21,Unspecified,3
,2/18/21,Moderna,447
,2/18/21,Pfizer,385
,2/18/21,Unspecified,6
,2/19/21,Moderna,484
,2/19/21,Pfizer,246
,2/19/21,Unspecified,2
,2/20/21,Moderna,432
,2/20/21,Pfizer,180
,2/21/21,Moderna,351
,2/21/21,Pfizer,254
,2/21/21,Unspecified,3
,2/22/21,Moderna,231
,2/22/21,Pfizer,151
,2/23/21,Moderna,429
,2/23/21,Pfizer,171
,2/23/21,Unspecified,8
,2/24/21,Moderna,850
,2/24/21,Pfizer,204
,2/24/21,Unspecified,3
,2/25/21,Moderna,"1,458"
,2/25/21,Pfizer,309
,2/25/21,Unspecified,8
,2/26/21,Moderna,751
,2/26/21,Pfizer,249
,2/26/21,Unspecified,4
,2/27/21,Moderna,244
,2/27/21,Pfizer,558
,2/28/21,Moderna,209
,2/28/21,Pfizer,48
,2/28/21,Unspecified,3
,3/1/21,Moderna,274
,3/1/21,Pfizer,82
,3/1/21,Unspecified,12
,3/2/21,Moderna,424
,3/2/21,Pfizer,169
,3/2/21,Unspecified,11
,3/3/21,Johnson & Johnson,1
,3/3/21,Moderna,597
,3/3/21,Pfizer,218
,3/3/21,Unspecified,2
,3/4/21,Johnson & Johnson,4
,3/4/21,Moderna,"1,068"
,3/4/21,Pfizer,263
,3/4/21,Unspecified,5
,3/5/21,Johnson & Johnson,27
,3/5/21,Moderna,519
,3/5/21,Pfizer,97
,3/5/21,Unspecified,5
,3/6/21,Johnson & Johnson,9
,3/6/21,Moderna,384
,3/6/21,Pfizer,108
,3/6/21,Unspecified,2
,3/7/21,Moderna,111
,3/7/21,Pfizer,156
,3/8/21,Johnson & Johnson,53
,3/8/21,Moderna,254
,3/8/21,Pfizer,133
,3/8/21,Unspecified,3
,3/9/21,Johnson & Johnson,80
,3/9/21,Moderna,391
,3/9/21,Pfizer,211
,3/9/21,Unspecified,1
,3/10/21,Johnson & Johnson,77
,3/10/21,Moderna,"1,613"
,3/10/21,Pfizer,158
,3/10/21,Unspecified,2
,3/11/21,Johnson & Johnson,72
,3/11/21,Moderna,932
,3/11/21,Pfizer,194
,3/12/21,Johnson & Johnson,66
,3/12/21,Moderna,562
,3/12/21,Pfizer,96
,3/12/21,Unspecified,2
,3/13/21,Johnson & Johnson,141
,3/13/21,Moderna,301
,3/13/21,Pfizer,126
,3/13/21,Unspecified,3
,3/14/21,Johnson & Johnson,18
,3/14/21,Moderna,52
,3/14/21,Pfizer,140
,3/14/21,Unspecified,1
,3/15/21,Johnson & Johnson,53
,3/15/21,Moderna,169
,3/15/21,Pfizer,106
,3/15/21,Unspecified,5
,3/16/21,Johnson & Johnson,83
,3/16/21,Moderna,372
,3/16/21,Pfizer,149
,3/16/21,Unspecified,9
,3/17/21,Johnson & Johnson,80
,3/17/21,Moderna,393
,3/17/21,Pfizer,202
,3/17/21,Unspecified,5
,3/18/21,Johnson & Johnson,53
,3/18/21,Moderna,619
,3/18/21,Pfizer,359
,3/18/21,Unspecified,9
,3/19/21,Johnson & Johnson,38
,3/19/21,Moderna,495
,3/19/21,Pfizer,410
,3/19/21,Unspecified,1
,3/20/21,Johnson & Johnson,77
,3/20/21,Moderna,281
,3/20/21,Pfizer,163
,3/20/21,Unspecified,1
,3/21/21,Johnson & Johnson,12
,3/21/21,Moderna,105
,3/21/21,Pfizer,215
,3/22/21,Johnson & Johnson,25
,3/22/21,Moderna,225
,3/22/21,Pfizer,258
,3/22/21,Unspecified,2
,3/23/21,Johnson & Johnson,68
,3/23/21,Moderna,494
,3/23/21,Pfizer,236
,3/23/21,Unspecified,3
,3/24/21,Johnson & Johnson,45
,3/24/21,Moderna,"1,259"
,3/24/21,Pfizer,459
,3/24/21,Unspecified,5
,3/25/21,Johnson & Johnson,53
,3/25/21,Moderna,812
,3/25/21,Pfizer,322
,3/25/21,Unspecified,4
,3/26/21,Johnson & Johnson,78
