ELR Date,Test Result,ELR Count
3/29/20,Positive Tests,384
3/29/20,Negative Tests,822
3/30/20,Positive Tests,127
3/30/20,Negative Tests,937
3/31/20,Negative Tests,1731
3/31/20,Positive Tests,191
4/1/20,Positive Tests,232
4/1/20,Negative Tests,1550
4/14/20,Positive Tests,119
4/14/20,Negative Tests,1355
4/15/20,Negative Tests,2241
4/15/20,Positive Tests,181
4/16/20,Negative Tests,2159
4/16/20,Positive Tests,141
4/17/20,Negative Tests,1901
4/17/20,Positive Tests,157
4/18/20,Positive Tests,221
4/18/20,Negative Tests,2167
5/1/20,Positive Tests,196
5/1/20,Negative Tests,3172
5/2/20,Negative Tests,3191
5/2/20,Positive Tests,301
5/3/20,Negative Tests,2565
5/3/20,Positive Tests,132
5/4/20,Positive Tests,85
5/4/20,Negative Tests,2819
5/18/20,Negative Tests,3932
5/18/20,Positive Tests,92
5/19/20,Negative Tests,3712
5/19/20,Positive Tests,75
5/20/20,Negative Tests,4328
5/20/20,Positive Tests,94
5/21/20,Positive Tests,60
5/21/20,Negative Tests,3859
6/4/20,Negative Tests,5796
6/4/20,Positive Tests,163
6/5/20,Negative Tests,4437
6/5/20,Positive Tests,188
6/6/20,Negative Tests,3678
6/6/20,Positive Tests,264
6/7/20,Positive Tests,134
6/7/20,Negative Tests,4561
6/20/20,Positive Tests,208
6/20/20,Negative Tests,6282
6/21/20,Negative Tests,5539
6/21/20,Positive Tests,232
6/22/20,Negative Tests,6034
6/22/20,Positive Tests,246
6/23/20,Negative Tests,6565
6/23/20,Positive Tests,266
7/7/20,Negative Tests,7400
7/7/20,Positive Tests,387
7/8/20,Negative Tests,9430
7/8/20,Positive Tests,507
7/9/20,Negative Tests,9181
7/9/20,Positive Tests,460
7/10/20,Positive Tests,522
7/10/20,Negative Tests,8145
7/24/20,Negative Tests,11363
7/24/20,Positive Tests,700
7/25/20,Negative Tests,6785
7/25/20,Positive Tests,442
7/26/20,Negative Tests,5955
7/26/20,Positive Tests,357
7/27/20,Positive Tests,459
7/27/20,Negative Tests,7675
8/9/20,Positive Tests,224
8/9/20,Negative Tests,2249
8/10/20,Negative Tests,4448
8/10/20,Positive Tests,346
8/11/20,Negative Tests,3360
8/11/20,Positive Tests,294
8/12/20,Negative Tests,8214
8/12/20,Positive Tests,309
8/13/20,Positive Tests,336
8/13/20,Negative Tests,6369
8/26/20,Positive Tests,621
8/26/20,Negative Tests,11822
8/27/20,Negative Tests,7770
8/27/20,Positive Tests,545
8/28/20,Negative Tests,8072
8/28/20,Positive Tests,772
8/29/20,Positive Tests,399
8/29/20,Negative Tests,6358
9/12/20,Negative Tests,7921
9/12/20,Positive Tests,475
9/13/20,Negative Tests,3605
9/13/20,Positive Tests,129
9/14/20,Negative Tests,5739
9/14/20,Positive Tests,212
9/15/20,Positive Tests,223
9/15/20,Negative Tests,6431
9/29/20,Negative Tests,14175
9/29/20,Positive Tests,432
9/30/20,Negative Tests,11735
9/30/20,Positive Tests,461
10/1/20,Negative Tests,11684
10/1/20,Positive Tests,529
10/2/20,Positive Tests,630
10/2/20,Negative Tests,9719
10/15/20,Positive Tests,509
10/15/20,Negative Tests,14138
10/16/20,Negative Tests,11475
10/16/20,Positive Tests,392
10/17/20,Negative Tests,8198
10/17/20,Positive Tests,317
10/18/20,Negative Tests,9052
10/18/20,Positive Tests,392
11/1/20,Negative Tests,8567
11/1/20,Positive Tests,466
